ts,symbol,strategy,regime,signal,intent,size_usd,price,ml_p_up,ml_vote,veto,reasons,planned_stop,planned_tp,run_id
1760558404,ETH/USDT,blocked,panic,hold,hold,0.0,3984.93,0.34397499066267556,neutral,1,"regime:panic,breaker:panic",,,
1760558376,SOL/USDT,rsi_mean_revert,chop,hold,hold,0.0,194.57,0.9999890298021138,boost,1,breaker:daily_loss,,,
1760558370,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,111261.38,1.3356244685865498e-149,neutral,1,breaker:daily_loss,,,
1760558363,ETH/USDT,blocked,panic,hold,hold,0.0,3979.72,0.37350452214930446,neutral,1,"regime:panic,breaker:panic",,,
1760558334,SOL/USDT,rsi_mean_revert,chop,hold,hold,0.0,194.85,0.9999890267186781,boost,1,breaker:daily_loss,,,
1760558328,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,111279.35,6.562276463627908e-150,neutral,1,breaker:daily_loss,,,
1760558321,ETH/USDT,blocked,panic,hold,hold,0.0,3982.02,0.35922655558167704,neutral,1,"regime:panic,breaker:panic",,,
1760558293,SOL/USDT,ema_trend,trend,hold,hold,0.0,194.46,0.9999889263455445,neutral,1,breaker:daily_loss,,,
1760558287,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,111206.93,4.7104925396037605e-149,neutral,1,breaker:daily_loss,,,
1760558281,ETH/USDT,blocked,panic,hold,hold,0.0,3983.23,0.3523193078749934,neutral,1,"regime:panic,breaker:panic",,,
1760558253,SOL/USDT,ema_trend,trend,hold,hold,0.0,194.3,0.9999888709017226,neutral,1,breaker:daily_loss,,,
1760558247,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,111257.51,1.0224134285281297e-149,neutral,1,breaker:daily_loss,,,
1760558241,ETH/USDT,blocked,panic,hold,hold,0.0,3981.64,0.36308607971513374,neutral,1,"regime:panic,breaker:panic",,,
1760558214,SOL/USDT,ema_trend,trend,hold,hold,0.0,194.61,0.9999888556227828,neutral,1,breaker:daily_loss,,,
1760558208,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,111199.07,5.186911898104386e-149,neutral,1,breaker:daily_loss,,,
1760558202,ETH/USDT,ema_trend,trend,hold,hold,0.0,3978.91,0.38025009621304257,neutral,1,breaker:daily_loss,,,
1760558172,SOL/USDT,ema_trend,trend,hold,hold,0.0,194.24,0.9999887615086723,neutral,1,breaker:daily_loss,,,
1760558166,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,111110.41,5.736400912647587e-148,veto,1,"ml_veto,breaker:daily_loss",,,
1760558160,ETH/USDT,ema_trend,trend,hold,hold,0.0,3974.58,0.4197035840346966,neutral,1,breaker:daily_loss,,,
1760558132,SOL/USDT,ema_trend,trend,hold,hold,0.0,194.32,0.9999890499348498,neutral,1,breaker:daily_loss,,,
1760558126,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,111106.65,8.941603651545744e-148,neutral,1,breaker:daily_loss,,,
1760558120,ETH/USDT,ema_trend,trend,hold,hold,0.0,3973.59,0.42524041589871464,neutral,1,breaker:daily_loss,,,
1760558092,SOL/USDT,ema_trend,trend,hold,hold,0.0,194.55,0.9999892338306492,neutral,1,breaker:daily_loss,,,
1760558087,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,111106.66,1.319228995792449e-147,neutral,1,breaker:daily_loss,,,
1760558081,ETH/USDT,ema_trend,trend,hold,hold,0.0,3973.07,0.44047009899948353,neutral,1,breaker:daily_loss,,,
1760558052,SOL/USDT,ema_trend,trend,hold,hold,0.0,194.68,0.9999892917835962,neutral,1,breaker:daily_loss,,,
1760558046,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,111144.44,4.722692539517739e-148,neutral,1,breaker:daily_loss,,,
